,ID,Investigation_Type,Accident_NO,Date,Country,Injury_Severity,Damage,Reg_Number,Make,Model,Amateur_Built,No_of_Engines,Engine_Type,Schedule,Purpose_of_flight,Major_Injuries,Minor_Injuries,Uninjured,Weather_Condition,Report_Status,Publication_Date,Total_Injuries,Year,Month,State_Abbr,Location_Name,US_State,Abbreviation
29,20020917X02485,Accident,NYC82DA020,1982-01-26,United States,Non-Fatal,Substantial,N5989W,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,26-01-1983,0.0,1982,1,NJ,SUSSEX,New Jersey,NJ
30,20020917X02430,Accident,MKC82DA025,1982-01-26,United States,Non-Fatal,Substantial,N9259H,Cessna,172N,No,1.0,Reciprocating,,Instructional,0.0,0.0,3.0,VMC,Probable Cause,26-01-1983,0.0,1982,1,MO,LEE'S SUMMIT,Missouri,MO
31,20020917X02427,Accident,MKC82DA021,1982-01-26,United States,Non-Fatal,Substantial,N89772,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,26-01-1983,0.0,1982,1,MO,ESSEX,Missouri,MO
32,20020917X02491,Accident,NYC82DA027,1982-01-27,United States,Non-Fatal,Substantial,N4918H,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,27-01-1983,0.0,1982,1,CT,ANSONIA,Connecticut,CT
33,20020917X02164,Accident,LAX82DA053,1982-01-27,United States,Non-Fatal,Substantial,N64951,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,27-01-1983,0.0,1982,1,CA,LODI,California,CA
34,20020917X01925,Accident,DEN82DA031,1982-01-27,United States,Non-Fatal,Substantial,N5745T,Cessna,172N,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,27-01-1983,0.0,1982,1,CO,BROOMFIELD,Colorado,CO
35,20020917X02468,Accident,MKC82FA023,1982-01-29,United States,Fatal(1),Destroyed,N1589E,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,29-01-1983,0.0,1982,1,KS,5M E. GREENSBUR,Kansas,KS
36,20020917X01758,Accident,ATL82FLG10,1982-01-29,United States,Fatal(1),Destroyed,N1434Q,Cessna,150,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,VMC,Probable Cause,29-01-1983,0.0,1982,1,SC,DARLINGTON,South Carolina,SC
37,20020917X01919,Accident,DEN82DA025,1982-01-29,United States,Non-Fatal,Substantial,N758RD,Cessna,172,No,1.0,Reciprocating,,Unknown,0.0,0.0,2.0,VMC,Probable Cause,29-01-1983,0.0,1982,1,WY,NEAR GILLETE,Wyoming,WY
38,20020917X02167,Accident,LAX82DA056,1982-01-30,United States,Non-Fatal,Substantial,N54288,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,30-01-1983,0.0,1982,1,CA,BIG BEAR,California,CA
39,20020917X01920,Accident,DEN82DA026,1982-01-30,United States,Non-Fatal,Substantial,N5447E,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,30-01-1983,0.0,1982,1,UT,BRYCE CANYON,Utah,UT
40,20020917X01663,Accident,ATL82DA044,1982-01-30,United States,Non-Fatal,Substantial,N734YY,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,30-01-1983,0.0,1982,1,GA,CUMBERLAND ISLA,Georgia,GA
41,20020917X02580,Accident,SEA82DA023,1982-01-30,United States,Non-Fatal,Substantial,N53294,Cessna,172P,No,1.0,Reciprocating,NSCH,Unknown,0.0,0.0,3.0,IMC,Probable Cause,30-01-1983,0.0,1982,1,WA,SINCLAIR ISLAND,Washington,WA
42,20020917X02344,Accident,MIA82DA040,1982-01-31,United States,Non-Fatal,Substantial,N5406M,Cessna,152,No,1.0,Reciprocating,,Personal,0.0,1.0,0.0,VMC,Probable Cause,31-01-1983,1.0,1982,1,FL,NEW PORT RICHEY,Florida,FL
43,20020917X02005,Accident,FTW82DA052,1982-01-31,United States,Non-Fatal,Substantial,N89963,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,31-01-1983,0.0,1982,1,NM,ALBUQUERQUE,New Mexico,NM
44,20020917X02004,Accident,FTW82DA051,1982-01-31,United States,Non-Fatal,Substantial,N6409M,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,31-01-1983,0.0,1982,1,TX,MCKINNEY,Texas,TX
45,20020917X02413,Accident,MIA82FLD13,1982-02-01,United States,Non-Fatal,Destroyed,N5111D,Cessna,172,No,1.0,Reciprocating,,Unknown,1.0,1.0,0.0,VMC,Probable Cause,01-02-1983,2.0,1982,2,FL,CRYSTAL RIVER,Florida,FL
46,20020917X02131,Accident,FTW82FQG14,1982-02-01,United States,Fatal(2),Destroyed,N58947,Cessna,182,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,01-02-1983,0.0,1982,2,TX,PAMPA,Texas,TX
47,20020917X02570,Accident,NYC82FNE03,1982-02-05,United States,Non-Fatal,Substantial,N721FL,Piper,PA-28-140,No,1.0,Reciprocating,,Instructional,1.0,1.0,0.0,VMC,Probable Cause,05-02-1983,2.0,1982,2,CT,ELLINGTON,Connecticut,CT
48,20020917X02432,Accident,MKC82DA027,1982-02-06,United States,Non-Fatal,Substantial,N7041C,Piper,PA-28-140,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,06-02-1983,0.0,1982,2,MO,SPRINGFIELD,Missouri,MO
49,20020917X02173,Accident,LAX82DA065A,1982-02-06,United States,Non-Fatal,Substantial,N3343D,Cessna,180,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,06-02-1983,0.0,1982,2,CA,SAN JOSE,California,CA
50,20020917X02172,Accident,LAX82DA064,1982-02-06,United States,Non-Fatal,Substantial,N49013,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,06-02-1983,0.0,1982,2,CA,CORONA,California,CA
51,20020917X01786,Accident,CHI82DA035,1982-02-06,United States,Non-Fatal,Substantial,N10794,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,2.0,0.0,VMC,Probable Cause,06-02-1983,2.0,1982,2,MN,BUFFALO,Minnesota,MN
52,20020917X02284,Accident,LAX82FJA04,1982-02-07,United States,Non-Fatal,Destroyed,N16524,Piper,PA-28-140,Yes,1.0,Reciprocating,,Personal,4.0,0.0,0.0,VMC,Probable Cause,07-02-1983,4.0,1982,2,HI,KALAUPAPA,Hawaii,HI
53,20020917X02493,Accident,NYC82DA031,1982-02-07,United States,Non-Fatal,Substantial,N738QM,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,5.0,VMC,Probable Cause,07-02-1983,0.0,1982,2,NJ,WRIGHTSTOWN,New Jersey,NJ
54,20020917X02434,Accident,MKC82DA029,1982-02-07,United States,Non-Fatal,Substantial,N5272B,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,07-02-1983,0.0,1982,2,MO,CAPE GIRARDEAU,Missouri,MO
55,20020917X01792,Accident,CHI82DA041,1982-02-07,United States,Non-Fatal,Substantial,N9893J,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,4.0,VMC,Probable Cause,07-02-1983,0.0,1982,2,MI,BENTON HARBOR,Michigan,MI
56,20020917X01791,Accident,CHI82DA040,1982-02-07,United States,Non-Fatal,Substantial,N46733,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,07-02-1983,0.0,1982,2,MI,CANTON,Michigan,MI
57,20020917X01789,Accident,CHI82DA038,1982-02-07,United States,Non-Fatal,Substantial,N7804U,Cessna,172,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,07-02-1983,0.0,1982,2,IN,GREENCASTLE,Indiana,IN
58,20020917X02263,Accident,LAX82FA070,1982-02-08,United States,Fatal(1),Destroyed,N733ZR,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,08-02-1983,0.0,1982,2,CA,SANTA YSABEL,California,CA
59,20020917X01879,Accident,CHI82DEE13,1982-02-08,United States,Non-Fatal,Substantial,N65619,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,08-02-1983,0.0,1982,2,IL,LANSING,Illinois,IL
60,20020917X01795,Accident,CHI82DA044,1982-02-09,United States,Non-Fatal,Substantial,N12562,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,09-02-1983,0.0,1982,2,MN,ANOKA,Minnesota,MN
61,20020917X02435,Accident,MKC82DA030,1982-02-11,United States,Non-Fatal,Substantial,N757YE,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,11-02-1983,0.0,1982,2,MO,CHESTERFIELD,Missouri,MO
62,20020917X01804,Accident,CHI82DA054,1982-02-12,United States,Non-Fatal,Substantial,N49952,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,1.0,0.0,VMC,Probable Cause,12-02-1983,1.0,1982,2,OH,ELYRIA,Ohio,OH
63,20020917X02442,Accident,MKC82DA037,1982-02-13,United States,Non-Fatal,Substantial,N7947Z,Cessna,150,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,13-02-1983,0.0,1982,2,MO,GRAIN VALLEY,Missouri,MO
64,20020917X02439,Accident,MKC82DA034,1982-02-13,United States,Non-Fatal,Substantial,N4822B,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,13-02-1983,0.0,1982,2,MO,MOBERLY,Missouri,MO
65,20020917X02010,Accident,FTW82DA057,1982-02-13,United States,Non-Fatal,Substantial,N8862B,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,13-02-1983,0.0,1982,2,NM,NAVAJO DAM,New Mexico,NM
66,20020917X01797,Accident,CHI82DA046,1982-02-13,United States,Non-Fatal,Substantial,N9447U,Cessna,150,No,1.0,Reciprocating,,Personal,0.0,1.0,0.0,VMC,Probable Cause,13-02-1983,1.0,1982,2,IL,ALTAMONT,Illinois,IL
67,20020917X02237,Accident,LAX82DUG06,1982-02-14,United States,Non-Fatal,Destroyed,N4539U,Cessna,150,No,1.0,Reciprocating,,Personal,2.0,0.0,0.0,VMC,Probable Cause,14-02-1983,2.0,1982,2,CA,DAGGETT,California,CA
68,20020917X02011,Accident,FTW82DA058,1982-02-14,United States,Non-Fatal,Destroyed,N5101B,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,14-02-1983,0.0,1982,2,TX,CLEVELAND,Texas,TX
69,20020917X02436,Accident,MKC82DA031,1982-02-14,United States,Non-Fatal,Substantial,N18102,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,14-02-1983,0.0,1982,2,MO,CHESTERFIELD,Missouri,MO
70,20020917X02353,Accident,MIA82DA057,1982-02-14,United States,Non-Fatal,Substantial,N98367,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,14-02-1983,0.0,1982,2,FL,MIAMI,Florida,FL
71,20020917X01799,Accident,CHI82DA049,1982-02-14,United States,Non-Fatal,Substantial,N5543J,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,4.0,VMC,Probable Cause,14-02-1983,0.0,1982,2,MI,LAMBERTVILLE,Michigan,MI
72,20020917X02437,Accident,MKC82DA032,1982-02-15,United States,Non-Fatal,Substantial,N24311,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,15-02-1983,0.0,1982,2,MO,CHESTERFIELD,Missouri,MO
73,20020917X01718,Accident,ATL82DLJ05,1982-02-15,United States,Non-Fatal,Substantial,N63536,Cessna,150M,No,1.0,Reciprocating,,Instructional,0.0,1.0,1.0,VMC,Probable Cause,15-02-1983,1.0,1982,2,NC,FAYETTEVILLE,North Carolina,NC
74,20020917X02360,Accident,MIA82DA065,1982-02-17,United States,Non-Fatal,Destroyed,N757TY,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,17-02-1983,0.0,1982,2,FL,OPA LOCKA,Florida,FL
75,20020917X02176,Accident,LAX82DA076,1982-02-17,United States,Non-Fatal,Substantial,N6585H,Cessna,172M,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,17-02-1983,0.0,1982,2,CA,SAN LUIS OBISPO,California,CA
76,20020917X01728,Accident,ATL82FA057,1982-02-18,United States,Fatal(1),Destroyed,N5552F,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,18-02-1983,0.0,1982,2,AL,HYTOP,Alabama,AL
77,20020917X01818,Accident,CHI82DA069,1982-02-19,United States,Non-Fatal,Substantial,N3328D,Cessna,180,No,1.0,Reciprocating,,Ferry,0.0,0.0,1.0,VMC,Probable Cause,19-02-1983,0.0,1982,2,MN,NEW RICHLAND,Minnesota,MN
78,20020917X02350,Accident,MIA82DA054,1982-02-20,United States,Non-Fatal,Substantial,N24725,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,20-02-1983,0.0,1982,2,FL,ST. PETERSBURG,Florida,FL
79,20020917X02177,Accident,LAX82DA081,1982-02-20,United States,Non-Fatal,Substantial,N529CA,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,20-02-1983,0.0,1982,2,AZ,GRAND CANYON,Arizona,AZ
80,20020917X02017,Accident,FTW82DA065,1982-02-20,United States,Non-Fatal,Substantial,N9320U,Cessna,150M,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,20-02-1983,0.0,1982,2,TX,LUBBOCK,Texas,TX
81,20020917X01810,Accident,CHI82DA061,1982-02-20,United States,Non-Fatal,Substantial,N63213,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,20-02-1983,0.0,1982,2,WI,FRANKLIN,Wisconsin,WI
82,20020917X02440,Accident,MKC82DA035,1982-02-21,United States,Non-Fatal,Substantial,N64998,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,21-02-1983,0.0,1982,2,IA,TIPTON,Iowa,IA
83,20020917X02270,Accident,LAX82FA080,1982-02-21,United States,Non-Fatal,Substantial,N4906G,Cessna,172N,No,1.0,Reciprocating,,Personal,0.0,1.0,3.0,VMC,Probable Cause,21-02-1983,1.0,1982,2,CA,CATALINA ISLAND,California,CA
84,20020917X01816,Accident,CHI82DA067,1982-02-21,United States,Non-Fatal,Substantial,N1GF,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,21-02-1983,0.0,1982,2,MN,LAKERVILLE,Minnesota,MN
85,20020917X01815,Accident,CHI82DA066,1982-02-21,United States,Non-Fatal,Substantial,N6112Q,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,21-02-1983,0.0,1982,2,IL,PLAINFIELD,Illinois,IL
86,20020917X02016,Accident,FTW82DA064,1982-02-22,United States,Non-Fatal,Substantial,N3643C,Cessna,180,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,22-02-1983,0.0,1982,2,TX,ABILENE,Texas,TX
87,20020917X02020,Accident,FTW82DA068,1982-02-23,United States,Non-Fatal,Substantial,N7178A,Cessna,172,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,23-02-1983,0.0,1982,2,OK,KINGFISHER,Oklahoma,OK
88,20020917X02097,Accident,FTW82FA069,1982-02-24,United States,Non-Fatal,Destroyed,N3942,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,IMC,Probable Cause,24-02-1983,0.0,1982,2,TX,FORT WORTH,Texas,TX
89,20020917X02021,Accident,FTW82DA070,1982-02-24,United States,Non-Fatal,Destroyed,N79325,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,3.0,VMC,Probable Cause,24-02-1983,0.0,1982,2,OK,HENNESSEY,Oklahoma,OK
90,20020917X02445,Accident,MKC82DA040,1982-02-26,United States,Non-Fatal,Substantial,N757PF,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,26-02-1983,0.0,1982,2,KS,MCPHERSON,Kansas,KS
91,20020917X01821,Accident,CHI82DA073,1982-02-26,United States,Non-Fatal,Substantial,N9101U,Cessna,150,Yes,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,26-02-1983,0.0,1982,2,MI,MANCHESTER,Michigan,MI
92,20020917X02354,Accident,MIA82DA058,1982-02-27,United States,Non-Fatal,Destroyed,N24542,Cessna,152,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,27-02-1983,0.0,1982,2,FL,MIAMI BEACH,Florida,FL
93,20020917X01822,Accident,CHI82DA074,1982-02-27,United States,Non-Fatal,Substantial,N47559,Cessna,152,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,27-02-1983,0.0,1982,2,MI,WILLIAMSBURG,Michigan,MI
94,20020917X02587,Accident,SEA82DA031,1982-02-28,United States,Non-Fatal,Substantial,N4787E,Cessna,172N,No,1.0,Reciprocating,,Instructional,0.0,0.0,2.0,VMC,Probable Cause,28-02-1983,0.0,1982,2,WA,REDMOND,Washington,WA
95,20020917X02027,Accident,FTW82DA077,1982-02-28,United States,Non-Fatal,Substantial,N4912H,Cessna,152,No,1.0,Reciprocating,,Personal,0.0,0.0,2.0,VMC,Probable Cause,28-02-1983,0.0,1982,2,AR,ARKADELPHIA,Arkansas,AR
96,20020917X01969,Accident,DEN82FA038,1982-03-04,United States,Fatal(3),Destroyed,N3963F,Cessna,172,No,1.0,Reciprocating,,Personal,0.0,0.0,0.0,IMC,Probable Cause,04-03-1983,0.0,1982,3,UT,3NM EAST OF MAR,Utah,UT
97,20020917X02369,Accident,MIA82DA081,1982-03-04,United States,Non-Fatal,Substantial,N25853,Cessna,152,No,1.0,Reciprocating,,Personal,0.0,0.0,1.0,VMC,Probable Cause,04-03-1983,0.0,1982,3,FL,BROOKSVILLE,Florida,FL
98,20020917X01830,Accident,CHI82DA083,1982-03-05,United States,Non-Fatal,Substantial,N6125B,Cessna,152,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,VMC,Probable Cause,05-03-1983,0.0,1982,3,WI,MILWAUKEE,Wisconsin,WI
99,20020917X01983,Accident,DEN82FTE17,1982-03-06,United States,Non-Fatal,Destroyed,N4899F,Cessna,172,No,1.0,Reciprocating,,Personal,2.0,0.0,0.0,VMC,Probable Cause,06-03-1983,2.0,1982,3,CO,BOULDER,Colorado,CO
100,20020917X02189,Accident,LAX82DA097A,1982-03-06,United States,Non-Fatal,Substantial,N5678E,Cessna,150,No,1.0,Reciprocating,,Instructional,0.0,0.0,3.0,VMC,Probable Cause,06-03-1983,0.0,1982,3,CA,HALF MOON BAY,California,CA
101,20020917X02187,Accident,LAX82DA095,1982-03-06,United States,Non-Fatal,Substantial,N734GH,Cessna,172N,No,1.0,Reciprocating,,Instructional,0.0,0.0,1.0,UNK,Probable Cause,06-03-1983,0.0,1982,3,AZ,MAMMOTH,Arizona,AZ
